"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
2001	13	3	10.5	76	34	9	87	14	6	0	13	1	10	2	6	5	21	1	7	2	5	1	8	1
2001	14	6.4	13.4	85	23	19	95	22	8	0	17	1	14	1	3	0	16	4	3	0	0	0	8	2
2001	15	3.5	11.2	62	47	5	52	6	6	0	2	0	16	1	7	0	6	1	9	3	0	0	0	0
2001	16	4.1	10.7	70	47	7	75	8	6	0	5	0	22	6	8	0	12	2	4	0	2	0	4	0
2001	17	7.7	13.1	79	30	30	92	15	12	3	8	1	15	3	7	0	9	0	6	4	2	1	12	1
2001	18	8.8	17	66	67	7	68	21	10	1	10	2	8	0	6	3	10	2	4	1	7	1	1	1
2001	19	12.9	22	51	86	1	83	10	6	1	13	3	22	1	0	0	13	0	11	1	4	0	3	1
2001	20	11.1	19.1	73	52	14	102	20	16	3	6	1	11	2	2	0	22	5	11	6	10	2	14	0
2001	21	12.1	18.9	57	80	1	64	22	5	2	9	2	8	1	4	4	10	4	4	1	6	0	11	5
2001	22	11.4	17.8	82	28	31	93	28	4	2	13	1	14	2	5	0	18	2	7	0	0	0	8	1
2001	23	10.7	16.2	71	56	12	58	14	8	5	9	1	18	0	7	3	5	1	3	2	0	0	2	1
2001	24	11.6	17.7	66	74	9	94	26	9	3	6	0	25	11	9	5	15	4	5	0	2	0	7	1
2001	25	13.6	19.7	72	56	9	85	30	14	8	5	4	14	4	10	3	11	1	7	1	3	0	7	4
2001	26	16.6	23.8	71	68	12	93	23	12	4	13	1	13	2	7	0	13	4	10	5	7	2	3	0
2001	27	19.9	28.3	62	89	5	99	48	12	2	19	10	20	6	3	3	9	7	8	5	9	3	5	3
2001	28	15.6	21.9	72	53	31	94	47	7	4	5	4	8	4	1	1	21	9	7	6	11	7	17	2
2001	29	16.2	23	67	61	8	94	72	13	11	12	11	15	8	8	7	16	11	8	8	0	0	10	9
2001	30	18.7	25.4	62	83	3	91	69	11	7	13	11	19	19	4	2	13	10	8	5	0	0	8	8
2001	31	16.3	22.8	69	51	18	86	66	6	4	7	5	28	24	11	11	10	6	4	2	2	2	1	1
2001	32	15.3	20.5	73	53	46	82	73	20	18	5	5	16	12	5	5	13	11	2	2	0	0	9	9
2001	33	18.8	28.6	72	54	7	91	61	8	5	8	5	15	9	10	9	12	10	11	9	8	4	5	3
